experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,display_name,graph_bucket,source_file,train_rows,target_mode,normalization_mode,feature_count,candidate_index,params_json,artifact_path,device,train_windows,validation_windows,target_encoding
focused_tabular,xgboost_tuned,tomato,1,29374,2025-10-03,2025-12-31,256.6088890733959,450.77145127424706,0.8964358582738616,8.032297132847683,8.093389869467511,xgboost_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,2.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 350, ""subsample"": 0.9}",artifacts/xgboost/tomato/tomato_xgboost_1d.joblib,,,,
tabular_variant,histgb_delta_current_mean_center,tomato,1,29374,2025-10-03,2025-12-31,263.23370048646603,451.3503308668801,0.8961696938458534,8.316234685386716,8.30233501463097,histgb_delta_current_mean_center,non_graph,anchored_histgb_metrics/anchored_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,1,29374,2025-10-03,2025-12-31,263.5381757981143,451.4056917596202,0.8961442214330898,8.310027044133705,8.311938101303824,histgb_cross_crop_delta_current_mean_center,non_graph,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
focused_tabular,extratrees_tuned,tomato,1,29374,2025-10-03,2025-12-31,268.5595940193585,452.2993681458713,0.8957325946729,8.619750012538569,8.470312565683946,extratrees_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,3.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",artifacts/extratrees/tomato/tomato_extratrees_1d.joblib,,,,
focused_tabular,lightgbm_tuned,tomato,1,29374,2025-10-03,2025-12-31,257.84362010392255,457.9756662063463,0.8930990879703581,8.04640548154517,8.132333023970327,lightgbm_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,2.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",artifacts/lightgbm/tomato/tomato_lightgbm_1d.joblib,,,,
baseline,current_price,tomato,1,29374,2025-10-03,2025-12-31,239.0287382686688,469.70354729976873,0.8875539292211889,7.830139306742269,7.538915646300621,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,current_price,tomato,1,29374,2025-10-03,2025-12-31,239.0287382686688,469.70354729976873,0.8875539292211889,7.830139306742269,7.538915646300621,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,previous_day_price,tomato,1,29374,2025-10-03,2025-12-31,312.9959858643454,551.9059184326277,0.8447517523347337,9.990967973037035,9.87182692823216,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,previous_day_price,tomato,1,29374,2025-10-03,2025-12-31,312.9959858643454,551.9059184326277,0.8447517523347337,9.990967973037035,9.87182692823216,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_7,tomato,1,29374,2025-10-03,2025-12-31,412.5067385307674,626.808321145534,0.7997529574005012,12.662212028649297,13.010374935831187,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_7,tomato,1,29374,2025-10-03,2025-12-31,412.5067385307674,626.808321145534,0.7997529574005012,12.662212028649297,13.010374935831187,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,tomato,1,29374,2025-10-03,2025-12-31,554.3618911578085,841.1528633060452,0.6393827813225459,16.589046209578527,17.48445632618818,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,tomato,1,29374,2025-10-03,2025-12-31,554.3618911578085,841.1528633060452,0.6393827813225459,16.589046209578527,17.48445632618818,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
focused_tabular,extratrees_tuned,wheat,1,528,2025-09-02,2025-11-30,32.41940978629935,50.34262547705582,0.7934862280746438,1.2818154818468996,1.2780964134136583,extratrees_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,3.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",artifacts/extratrees/wheat/wheat_extratrees_1d.joblib,,,,
