experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,roll_mean_28,tomato,12,25471,2025-10-03,2025-12-31,724.838703681189,1086.0828289035437,0.4309414971262938,20.564568817541623,22.034212386696232
baseline,previous_day_price,tomato,13,25127,2025-10-03,2025-12-31,800.0166293428533,1165.492169730038,0.34707349542087795,22.989077106399318,24.22600550229043
baseline,current_price,tomato,13,25127,2025-10-03,2025-12-31,794.3688083379202,1160.2008265708323,0.35298861993563235,23.042117367809272,24.05497887893905
baseline,roll_mean_7,tomato,13,25127,2025-10-03,2025-12-31,802.4563055564021,1166.482114234982,0.34596386032448223,22.93593487218726,24.29988347832924
baseline,roll_mean_28,tomato,13,25127,2025-10-03,2025-12-31,740.235014531725,1104.3116150308165,0.41382288591356875,20.884264618602444,22.415705970717152
baseline,previous_day_price,tomato,14,24783,2025-10-03,2025-12-31,841.1608615211303,1223.061811310961,0.28382357235712674,24.24263790150485,25.37308527952387
baseline,current_price,tomato,14,24783,2025-10-03,2025-12-31,806.8208180050665,1172.2053431113266,0.3421443580657483,23.125805584995867,24.33723958996101
baseline,roll_mean_7,tomato,14,24783,2025-10-03,2025-12-31,815.4818786972432,1180.955402270344,0.3322864265961566,23.211138693191362,24.598495006857522
baseline,roll_mean_28,tomato,14,24783,2025-10-03,2025-12-31,756.0994998662552,1122.9287523047235,0.39629104998843157,21.210833558403987,22.807263114000598
baseline,previous_day_price,tomato,15,24442,2025-10-03,2025-12-31,861.5590393089818,1246.9556242935823,0.2587687991778459,24.712463516736012,25.88612381213749
baseline,current_price,tomato,15,24442,2025-10-03,2025-12-31,848.5406227231013,1230.0761870235328,0.27870035696307704,24.389331836085823,25.494976684425414
baseline,roll_mean_7,tomato,15,24442,2025-10-03,2025-12-31,825.8928337148412,1190.2761570037321,0.3246216055535157,23.420309637860797,24.81450855213212
baseline,roll_mean_28,tomato,15,24442,2025-10-03,2025-12-31,772.5399782737509,1141.2791889268422,0.37908022542700215,21.547978792174877,23.2114859400232
baseline,previous_day_price,wheat,1,528,2025-09-02,2025-11-30,36.178604483830526,62.08377076578217,0.6859249265484453,1.433081061468833,1.4262981632884724
baseline,current_price,wheat,1,528,2025-09-02,2025-11-30,33.90653022450624,61.80241040936063,0.688765219055006,1.3450010435462398,1.3367243560848916
