experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,current_price,potato,7,3339,2025-09-02,2025-11-30,197.32469611242493,380.74191587185896,0.9278216122993228,7.221614125446156,7.5632834440072765
baseline,roll_mean_7,potato,7,3339,2025-09-02,2025-11-30,217.204834311328,367.3327637265593,0.9328161128870232,8.3859639150856,8.32527179653804
baseline,roll_mean_28,potato,7,3339,2025-09-02,2025-11-30,234.7497282652654,354.74650323082204,0.937341204604231,9.348708361114136,8.99775227456738
baseline,previous_day_price,potato,8,3210,2025-09-02,2025-11-30,227.31136321592996,417.35878815250425,0.912712139334193,8.444249706786808,8.722699578751572
baseline,current_price,potato,8,3210,2025-09-02,2025-11-30,213.66381999184824,403.0804648059764,0.9185824132613384,7.8510744493036775,8.198997561186316
baseline,roll_mean_7,potato,8,3210,2025-09-02,2025-11-30,222.20905736537986,369.63806590595465,0.931531927402468,8.672851465743813,8.526906986319766
baseline,roll_mean_28,potato,8,3210,2025-09-02,2025-11-30,235.5577167429082,352.46293284346757,0.9377468078706463,9.444289638149346,9.039139828013026
baseline,previous_day_price,potato,9,3081,2025-09-02,2025-11-30,232.5517151503842,417.24504645992863,0.9122124795512618,8.78010113345082,8.935788042226042
baseline,current_price,potato,9,3081,2025-09-02,2025-11-30,222.9726284201601,414.09601212398934,0.9135325801557014,8.307296976721922,8.567712112947131
baseline,roll_mean_7,potato,9,3081,2025-09-02,2025-11-30,226.36170418286716,372.133946716829,0.9301688841820975,8.950972428236357,8.697937179896268
baseline,roll_mean_28,potato,9,3081,2025-09-02,2025-11-30,235.9804428820512,351.0815978981059,0.9378463645253866,9.541132234874318,9.067536734102452
baseline,previous_day_price,potato,10,2952,2025-09-02,2025-11-30,240.34774648490202,423.7705078877184,0.909760440247986,9.156475055663277,9.224312399983873
baseline,current_price,potato,10,2952,2025-09-02,2025-11-30,231.2802041958116,418.67475425732135,0.911917616471395,8.697455014353839,8.876308959144918
baseline,roll_mean_7,potato,10,2952,2025-09-02,2025-11-30,232.24811949886384,378.2882901495573,0.92809132175668,9.234877545296355,8.913456605680642
baseline,roll_mean_28,potato,10,2952,2025-09-02,2025-11-30,238.94304486723536,355.22907575841185,0.9365907638103594,9.667636370690227,9.170401320143839
baseline,previous_day_price,potato,11,2823,2025-09-02,2025-11-30,250.6384690001053,443.2921071032192,0.9013562577507864,9.616129774415203,9.618345485167884
baseline,current_price,potato,11,2823,2025-09-02,2025-11-30,239.30792281649315,425.88195804234067,0.9089524997331954,9.1004424149341,9.183531515211873
